,id,name,activity_type,distance,start_latitude,start_longitude,end_latitude,end_longitude,city,state,country,hazardous,map_id,map_polyline,effort_count,athlete_count,star_count
0,1397141,The ACTUAL Harlem Hill,Ride,533.31 m,40.79925499856472,-73.95551425404847,40.79740603454411,-73.95699768327177,New York,NY,United States,False,s1397141,ir_xF~lkbMQx@QbBIfAGlCMzAJh@NXRR^V`@Rd@FXAn@i@P[L_@ZgBZw@TSp@WXAX@,1177019,44145,1085
1,453495,Cat Hill climb,Ride,396.54 m,40.7750326,-73.9683939,40.7781111,-73.9666304,New York,NY,United States,False,s453495,}zzwFn}mbMIQWuAIQWUS[i@e@]Ce@DWFY?_AOSKa@OeBa@SAYK[MMK{@a@,1231342,55754,517
2,613198,Prospect Park hill,Ride,775.77 m,40.6637309398502,-73.9654613938183,40.6696655787528,-73.9688413962722,Brooklyn,NY,United States,False,s613198,icewFdkmbM[Py@XMHSDm@VeCt@}@\m@Vc@^w@fA_@^m@fAe@t@Qj@Mt@Sf@_@b@MFg@Rc@HiA?WBg@TSL{@\WDW@o@Ii@Yg@_@,1659552,22067,438
3,635123,CNBC Hill,Ride,505.51 m,40.892669,-73.942748,40.896796,-73.940489,Tenafly,NJ,United States,False,s635123,czqxFd}hbM}BuBqBaByAeA}@e@mAc@_AUiBSaC]w@S,182255,17773,110
4,687035,Greenway Commute,Ride,2340.33 m,40.74845520877435,-74.00809168333427,40.76677216004214,-73.99697862994104,New York,NY,United States,False,s687035,ytuwFruubMI\@LIRMJy@b@UHiBYaCNaAAeAOgBg@}NgEyAk@sGoE_HmE}BaB{GaEmD{ByAeAsAo@}@o@m@i@QSi@][Y}@_AwBgD{AmCc@e@kCeBq@m@cBiA}AiAeA_AeCiBw@a@CG,322264,31415,55
5,1430345,Buijs' Sprint,Ride,437.20 m,40.788206057661014,-73.96619279875789,40.784644503184396,-73.96710843786035,New York,NY,United States,False,s1430345,gm}wFvombMN`@`@j@r@t@~AnAt@VnATv@Cp@MzDcAn@@d@F,1183790,49162,58
6,1112424,Williamsburg Bridge Climb into Manhattan,Ride,1148.73 m,40.710518,-73.961357,40.713636,-73.973649,Brooklyn,NY,United States,False,s1112424,ugnwFnqlbMJm@DKETq@`CUpAq@lCW|AQn@e@lC_@pAWzBSl@]|Ae@jCATHh@AXKt@Ml@MvAO`AOl@Ed@SXDPJLKz@?\Oj@OnAWp@Mz@_@zAGv@If@]hASjAMnA@fACVQl@,154187,13673,157
7,647496,"Cherry Walk, Southbound",Ride,2368.22 m,40.81796,-73.96207,40.79938,-73.97522,New York,NY,United States,False,s647496,ggcxF|ulbMPNj@n@bB`Bv@j@j@`@l@h@PF|@|@t@j@LFTDTJZVtAh@j@d@H?THh@TJB`@LFBVTn@VZRt@r@`@Z~@h@TVTNLN\PZTdDhBVPrBx@`@ZfAf@HHF@f@^fAf@z@VJLHBRRPHfAjATPnBjAH@LHLNxAx@n@n@x@d@~@|@rAn@JLx@f@`@Tr@b@\Pf@b@r@t@vAfATFHJfAl@TDZPv@d@d@`@`@Rb@Xn@Vl@^b@PTTTFZRZP\Jb@XH@`@Vh@VJ?t@XTJx@r@ZRTRHDf@h@,199414,29479,55
8,825722,Montammy Dr southbound,Ride,611.30 m,40.92186061665416,-73.93499317578971,40.916796857491136,-73.93655807711184,Alpine,NJ,United States,False,s825722,spwxFvlgbMbBnC`@\dAbAZTpAp@n@T`Cl@~ALtA?vAOzFcA,320568,21475,19
9,1988775,Breezy to Marine Parkway Bridge,Ride,2418.32 m,40.56067558,-73.90990015,40.56745654,-73.88284292,Far Rockaway,NY,United States,False,s1988775,e_qvF|obbMDqDCmBKkBOeBcD}Ue@oCa@gByCcPk@gCeAkG]}AyAgIyB_MsK}k@{C{PWcB,7791,1594,25
