Detailed Activity,15 to 24 years,25 to 54 years,55 years and over
Yoga,0.00015041831853067233,0.0009599593064100159,0.00078064012490242
Walking,0.01521472647206801,0.06792603815954555,0.12543166752669394
Aerobics,0.021784721994097374,0.0704073546219947,0.11114198388441235
Using cardiovascular equipment,0.024723930517110516,0.07583523438360222,0.09738154778443747
Hiking,0.027144455183121332,0.08514017111778655,0.07779938871908863
Golfing,0.02766313904012365,0.05613978496291208,0.12649016261130738
Racquet sports,0.03820971079917079,0.07273358880554079,0.08203336905754244
Cycling,0.039419973132176205,0.07397424703676536,0.078064012490242
"Swimming, surfing, water skiing",0.04979365027222257,0.07319883564225,0.06350970507680705
Bowling,0.056190751175251165,0.05753552547303973,0.08044562643062227
Weight lifting,0.0579196973652589,0.07397424703676536,0.04974926897683219
Running,0.060167327412268934,0.08731132302242955,0.02328689186149592
Dancing,0.06397100903028595,0.05846601914645816,0.06721443787295413
"Baseball, softball",0.11307308082650544,0.050091576085692265,0.006086346736527342
Soccer,0.1265588611085657,0.03908073428357415,0.004233980338453804
Football,0.13727832748661364,0.03194694945403284,0.0
Basketball,0.1407362198666291,0.02527841146120074,0.006350970507680705
