,lats,longs
0,40.81796,-73.96207
1,40.81787,-73.96215
2,40.81765,-73.96239
3,40.81715,-73.96288
4,40.81687,-73.9631
5,40.81665,-73.96327
6,40.81642,-73.96348
7,40.81633,-73.96352
8,40.81602,-73.96383
9,40.81575,-73.96405
10,40.81568,-73.96409
11,40.81557,-73.96412
12,40.81546,-73.96418
13,40.81532,-73.9643
14,40.81489,-73.96451
15,40.81467,-73.9647
16,40.81462,-73.9647
17,40.81451,-73.96475
18,40.8143,-73.96486
19,40.81424,-73.96488
20,40.81407,-73.96495
21,40.81403,-73.96497
22,40.81391,-73.96508
23,40.81367,-73.9652
24,40.81353,-73.9653
25,40.81326,-73.96556
26,40.81309,-73.9657
27,40.81277,-73.96591
28,40.81266,-73.96603
29,40.81255,-73.96611
30,40.81248,-73.96619
31,40.81233,-73.96628
32,40.81219,-73.96639
33,40.81136,-73.96692
34,40.81124,-73.96701
35,40.81066,-73.9673
36,40.81049,-73.96744
37,40.81013,-73.96764
38,40.81008,-73.96769
39,40.81004,-73.9677
40,40.80984,-73.96786
41,40.80948,-73.96806
42,40.80918,-73.96818
43,40.80912,-73.96825
44,40.80907,-73.96827
45,40.80897,-73.96837
46,40.80888,-73.96842
47,40.80852,-73.9688
48,40.80841,-73.96889
49,40.80785,-73.96927
50,40.8078,-73.96928
51,40.80773,-73.96933
52,40.80766,-73.96941
53,40.80721,-73.9697
54,40.80697,-73.96994
55,40.80668,-73.97013
56,40.80636,-73.97044
57,40.80594,-73.97068
58,40.80588,-73.97075
59,40.80559,-73.97095
60,40.80542,-73.97106
61,40.80516,-73.97124
62,40.80501,-73.97133
63,40.80481,-73.97151
64,40.80455,-73.97178
65,40.80411,-73.97214
66,40.804,-73.97218
67,40.80395,-73.97224
68,40.80359,-73.97247
69,40.80348,-73.9725
70,40.80334,-73.97259
71,40.80306,-73.97278
72,40.80287,-73.97295
73,40.8027,-73.97305
74,40.80252,-73.97318
75,40.80228,-73.9733
76,40.80205,-73.97346
77,40.80187,-73.97355
78,40.80176,-73.97366
79,40.80165,-73.9737
80,40.80151,-73.9738
81,40.80137,-73.97389
82,40.80122,-73.97395
83,40.80104,-73.97408
84,40.80099,-73.97409
85,40.80082,-73.97421
86,40.80061,-73.97433
87,40.80055,-73.97433
88,40.80028,-73.97446
89,40.80017,-73.97452
90,40.79988,-73.97478
91,40.79974,-73.97488
92,40.79963,-73.97498
93,40.79958,-73.97501
94,40.79938,-73.97522
